||2023-Mar-30||15:37:52||http-nio-8080-exec-7||INFO ||TechniciansController                             ||Carrier || successfully deleted Technician with ID 5.
||2023-Mar-30||15:37:55||http-nio-8080-exec-7||INFO ||TechniciansController                             ||Carrier || successfully deleted Technician with ID 3.
||2023-Mar-30||15:37:58||http-nio-8080-exec-8||INFO ||TechniciansController                             ||Carrier || successfully deleted Technician with ID 2.
||2023-Mar-30||15:37:59||http-nio-8080-exec-1||INFO ||TechniciansController                             ||Carrier || successfully deleted Technician with ID 1.
||2023-Mar-30||15:41:43||http-nio-8080-exec-9||INFO ||CustomLoginSuccessHandler                         ||Carrier || logged in.
||2023-Mar-30||15:42:02||http-nio-8080-exec-5||INFO ||DriverController                                  ||Carrier || successfully deleted driver with ID 6.
||2023-Mar-30||15:42:04||http-nio-8080-exec-10||INFO ||DriverController                                  ||Carrier || successfully deleted driver with ID 5.
||2023-Mar-30||15:42:06||http-nio-8080-exec-5||INFO ||DriverController                                  ||Carrier || successfully deleted driver with ID 4.
||2023-Mar-30||15:42:07||http-nio-8080-exec-1||INFO ||DriverController                                  ||Carrier || successfully deleted driver with ID 3.
||2023-Mar-30||15:42:09||http-nio-8080-exec-5||INFO ||DriverController                                  ||Carrier || successfully deleted driver with ID 2.
||2023-Mar-30||15:42:11||http-nio-8080-exec-3||INFO ||DriverController                                  ||Carrier || successfully deleted driver with ID 1.
||2023-Mar-30||15:42:14||http-nio-8080-exec-5||INFO ||VehicleTypesController                            ||Carrier || successfully deleted the Vehicle type with ID 8.
||2023-Mar-30||15:42:15||http-nio-8080-exec-1||ERROR||VehicleTypesController                            ||Carrier || failed to delete the vehicle type due to dependency conflict.
||2023-Mar-30||15:42:18||http-nio-8080-exec-7||INFO ||VehicleTypesController                            ||Carrier || successfully deleted the Vehicle type with ID 6.
||2023-Mar-30||15:42:26||http-nio-8080-exec-1||ERROR||LocationsController                               ||Carrier || attempted to delete location but was unable to due to dependecy conflict.
||2023-Mar-30||15:42:30||http-nio-8080-exec-1||INFO ||VehiclesController                                ||Carrier || successfully deleted the vehicle with ID 7.
||2023-Mar-30||15:42:32||http-nio-8080-exec-4||INFO ||VehiclesController                                ||Carrier || successfully deleted the vehicle with ID 5.
||2023-Mar-30||15:42:34||http-nio-8080-exec-10||INFO ||VehiclesController                                ||Carrier || successfully deleted the vehicle with ID 4.
||2023-Mar-30||15:42:35||http-nio-8080-exec-6||INFO ||VehiclesController                                ||Carrier || successfully deleted the vehicle with ID 3.
||2023-Mar-30||15:42:37||http-nio-8080-exec-1||INFO ||VehiclesController                                ||Carrier || successfully deleted the vehicle with ID 2.
||2023-Mar-30||15:42:38||http-nio-8080-exec-8||ERROR||VehiclesController                                ||Carrier || was unable to delete due to dependency conflict.
||2023-Mar-30||15:42:52||http-nio-8080-exec-7||ERROR||VehiclesController                                ||Carrier || was unable to delete due to dependency conflict.
||2023-Mar-30||15:43:06||http-nio-8080-exec-1||INFO ||CustomLogoutSuccessHandler                        ||Carrier || logged out.
||2023-Mar-30||15:44:14||http-nio-8080-exec-4||INFO ||CustomLoginSuccessHandler                         ||ShadowAdmin || logged in.
